"범죄별","재범기간및종류별","항목","단위","2006 년","2007 년","2008 년","2009 년","2010 년","2011 년","2012 년","2013 년","2014 년","2015 년","2016 년","2017 년","2018 년","2019 년",
"절도","동종재범","소년범죄자 재범기간 및 종류","명","4872","5784","7198","9264","9054","8930","11703","9227","6470","5884","5656","4818","4375","4037",
"절도","1개월 이내","소년범죄자 재범기간 및 종류","명","520","779","1035","1542","1372","1770","2456","1826","1179","1094","1212","1064","1017","960",
"절도","3개월 이내","소년범죄자 재범기간 및 종류","명","710","898","1114","1740","2175","2133","2830","1927","1308","1160","1213","1001","955","834",
"절도","6개월 이내","소년범죄자 재범기간 및 종류","명","612","734","1002","1243","1396","1227","1727","1296","991","875","801","713","720","611",
"절도","1년 이내","소년범죄자 재범기간 및 종류","명","2016","2259","2858","3461","2926","2733","3295","2861","1996","1713","1653","1381","1182","1113",
"절도","2년 이내","소년범죄자 재범기간 및 종류","명","612","658","753","831","809","749","875","799","589","632","489","403","305","316",
"절도","3년 이내","소년범죄자 재범기간 및 종류","명","288","331","320","362","301","264","413","416","318","329","227","206","148","159",
"절도","3년 초과","소년범죄자 재범기간 및 종류","명","114","125","116","85","75","54","107","102","89","81","61","50","48","44",
"절도","이종재범","소년범죄자 재범기간 및 종류","명","2210","2756","3653","4404","3648","3554","5578","7522","5528","4667","4802","4209","3844","3860",
"절도","1개월 이내","소년범죄자 재범기간 및 종류","명","161","298","435","473","386","491","746","1248","971","809","924","724","856","900",
"절도","3개월 이내","소년범죄자 재범기간 및 종류","명","282","394","540","629","687","675","1018","1526","1160","913","1036","892","922","896",
"절도","6개월 이내","소년범죄자 재범기간 및 종류","명","278","367","470","566","527","518","833","1345","993","758","776","718","659","615",
"절도","1년 이내","소년범죄자 재범기간 및 종류","명","873","1053","1411","1758","1245","1152","1657","2122","1427","1273","1290","1180","922","978",
"절도","2년 이내","소년범죄자 재범기간 및 종류","명","348","342","466","562","508","424","518","676","573","492","443","421","290","300",
"절도","3년 이내","소년범죄자 재범기간 및 종류","명","156","176","180","280","193","198","278","366","271","272","210","180","123","121",
"절도","3년 초과","소년범죄자 재범기간 및 종류","명","112","126","151","136","102","96","528","239","133","150","123","94","72","50",
"장물","합계","소년범죄자 재범기간 및 종류","명","80","106","209","317","319","194","693","911","407","395","277","190","135","75",
"장물","동종재범","소년범죄자 재범기간 및 종류","명","20","24","81","99","102","47","196","353","159","154","106","73","62","36",
"장물","1개월 이내","소년범죄자 재범기간 및 종류","명","2","5","9","12","14","6","59","57","23","16","12","11","11","7",
"장물","3개월 이내","소년범죄자 재범기간 및 종류","명","5","-","9","15","19","14","50","67","25","23","21","16","9","9",
"장물","6개월 이내","소년범죄자 재범기간 및 종류","명","-","2","9","16","14","3","26","62","27","28","13","12","9","6",
"장물","1년 이내","소년범죄자 재범기간 및 종류","명","5","8","30","40","34","17","40","115","47","46","40","19","27","9",
"장물","2년 이내","소년범죄자 재범기간 및 종류","명","3","7","17","5","14","4","14","29","19","31","16","9","6","2",
"장물","3년 이내","소년범죄자 재범기간 및 종류","명","2","1","4","8","3","2","3","13","13","8","3","5","-","1",
"장물","3년 초과","소년범죄자 재범기간 및 종류","명","3","1","3","3","4","1","4","10","5","2","1","1","-","2",
"장물","이종재범","소년범죄자 재범기간 및 종류","명","60","82","128","218","217","147","497","558","248","241","171","117","73","39",
"장물","1개월 이내","소년범죄자 재범기간 및 종류","명","2","10","11","23","24","15","64","80","27","26","20","17","8","7",
"장물","3개월 이내","소년범죄자 재범기간 및 종류","명","8","6","17","22","42","31","99","87","28","35","25","17","11","10",
"장물","6개월 이내","소년범죄자 재범기간 및 종류","명","14","7","11","26","30","24","71","67","33","36","34","21","11","7",
"장물","1년 이내","소년범죄자 재범기간 및 종류","명","17","37","54","91","71","51","156","181","75","74","50","38","29","7",
"장물","2년 이내","소년범죄자 재범기간 및 종류","명","7","10","25","34","25","18","61","64","41","40","24","13","6","2",
"장물","3년 이내","소년범죄자 재범기간 및 종류","명","9","7","4","15","21","6","27","50","34","22","16","9","3","4",
"장물","3년 초과","소년범죄자 재범기간 및 종류","명","3","5","6","7","4","2","19","29","10","8","2","2","5","2",
"사기","합계","소년범죄자 재범기간 및 종류","명","1156","1057","1308","1662","1832","1882","2935","3779","3581","3764","3657","3193","3829","4344",
"사기","동종재범","소년범죄자 재범기간 및 종류","명","511","458","511","628","873","904","1413","1932","1885","1930","2001","1631","2057","2351",
"사기","1개월 이내","소년범죄자 재범기간 및 종류","명","87","64","107","180","228","260","366","457","445","405","427","391","485","500",
"사기","3개월 이내","소년범죄자 재범기간 및 종류","명","58","45","67","119","218","199","361","390","366","398","461","382","487","552",
"사기","6개월 이내","소년범죄자 재범기간 및 종류","명","51","71","71","69","97","141","130","219","244","275","270","232","297","340",
"사기","1년 이내","소년범죄자 재범기간 및 종류","명","225","214","200","205","267","242","447","622","583","621","639","457","581","680",
"사기","2년 이내","소년범죄자 재범기간 및 종류","명","47","32","36","34","33","32","54","111","129","122","113","99","107","143",
"사기","3년 이내","소년범죄자 재범기간 및 종류","명","32","25","21","18","28","24","40","104","87","81","63","57","73","104",
"사기","3년 초과","소년범죄자 재범기간 및 종류","명","11","7","9","3","2","6","15","29","31","28","28","13","27","32",
"사기","이종재범","소년범죄자 재범기간 및 종류","명","645","599","797","1034","959","978","1522","1847","1696","1834","1656","1562","1772","1993",
"사기","1개월 이내","소년범죄자 재범기간 및 종류","명","48","45","47","100","79","124","166","245","238","222","219","253","275","352",
"사기","3개월 이내","소년범죄자 재범기간 및 종류","명","34","44","63","95","149","124","221","308","245","276","277","334","330","385",
"사기","6개월 이내","소년범죄자 재범기간 및 종류","명","43","49","73","80","84","100","181","204","221","248","209","220","254","266",
"사기","1년 이내","소년범죄자 재범기간 및 종류","명","236","207","306","406","360","362","507","575","511","584","579","459","557","630",
"사기","2년 이내","소년범죄자 재범기간 및 종류","명","101","113","139","191","141","137","182","220","243","222","179","148","166","182",
"사기","3년 이내","소년범죄자 재범기간 및 종류","명","96","94","121","101","104","83","147","171","150","179","130","110","138","117",
"사기","3년 초과","소년범죄자 재범기간 및 종류","명","87","47","48","61","42","48","118","124","88","103","63","38","52","61",
"횡령","합계","소년범죄자 재범기간 및 종류","명","148","144","289","358","297","282","516","575","494","491","547","503","504","459",
"횡령","동종재범","소년범죄자 재범기간 및 종류","명","36","29","57","70","66","38","73","216","186","153","160","170","209","206",
"횡령","1개월 이내","소년범죄자 재범기간 및 종류","명","2","4","4","4","6","1","13","21","23","8","12","18","23","26",
"횡령","3개월 이내","소년범죄자 재범기간 및 종류","명","5","2","10","9","10","3","15","43","21","26","24","30","25","28",
"횡령","6개월 이내","소년범죄자 재범기간 및 종류","명","7","6","8","18","11","9","8","21","35","17","19","35","40","33",
"횡령","1년 이내","소년범죄자 재범기간 및 종류","명","12","11","23","26","20","16","20","69","53","46","60","55","62","67",
"횡령","2년 이내","소년범죄자 재범기간 및 종류","명","5","1","5","7","15","6","8","35","34","30","23","15","40","29",
"횡령","3년 이내","소년범죄자 재범기간 및 종류","명","4","5","4","6","3","3","4","22","12","21","16","16","17","21",
"횡령","3년 초과","소년범죄자 재범기간 및 종류","명","1","-","3","-","1","-","5","5","8","5","6","1","2","2",
"횡령","이종재범","소년범죄자 재범기간 및 종류","명","112","115","232","288","231","244","443","359","308","338","387","333","295","253",
"횡령","1개월 이내","소년범죄자 재범기간 및 종류","명","6","7","18","20","5","14","57","33","23","23","35","43","27","33",
"횡령","3개월 이내","소년범죄자 재범기간 및 종류","명","10","15","20","28","31","43","55","46","35","44","44","49","42","35",
"횡령","6개월 이내","소년범죄자 재범기간 및 종류","명","10","14","29","32","23","34","54","48","37","49","60","30","36","27",
"횡령","1년 이내","소년범죄자 재범기간 및 종류","명","41","44","99","100","76","90","134","113","114","100","117","112","92","92",
"횡령","2년 이내","소년범죄자 재범기간 및 종류","명","23","20","30","54","61","30","65","58","51","65","71","55","42","38",
"횡령","3년 이내","소년범죄자 재범기간 및 종류","명","15","10","23","38","24","23","31","27","31","31","43","23","38","19",
"횡령","3년 초과","소년범죄자 재범기간 및 종류","명","7","5","13","16","11","10","47","34","17","26","17","21","18","9",
"배임","합계","소년범죄자 재범기간 및 종류","명","-","1","1","-","2","-","-","-","-","-","3","","-","-",
"배임","동종재범","소년범죄자 재범기간 및 종류","명","-","-","-","-","-","-","-","-","-","-","1","","-","-",
"배임","1개월 이내","소년범죄자 재범기간 및 종류","명","-","-","-","-","-","-","-","-","-","-","-","","-","-",
"배임","3개월 이내","소년범죄자 재범기간 및 종류","명","-","-","-","-","-","-","-","-","-","-","-","","-","-",
"배임","6개월 이내","소년범죄자 재범기간 및 종류","명","-","-","-","-","-","-","-","-","-","-","-","","-","-",
"배임","1년 이내","소년범죄자 재범기간 및 종류","명","-","-","-","-","-","-","-","-","-","-","1","","-","-",
"배임","2년 이내","소년범죄자 재범기간 및 종류","명","-","-","-","-","-","-","-","-","-","-","-","","-","-",
"배임","3년 이내","소년범죄자 재범기간 및 종류","명","-","-","-","-","-","-","-","-","-","-","-","","-","-",
"배임","3년 초과","소년범죄자 재범기간 및 종류","명","-","-","-","-","-","-","-","-","-","-","-","","-","-",
"배임","이종재범","소년범죄자 재범기간 및 종류","명","-","1","1","-","2","-","-","-","-","-","2","","-","-",
"배임","1개월 이내","소년범죄자 재범기간 및 종류","명","-","-","-","-","1","-","-","-","-","-","-","","-","-",
"배임","3개월 이내","소년범죄자 재범기간 및 종류","명","-","-","-","-","-","-","-","-","-","-","-","","-","-",
"배임","6개월 이내","소년범죄자 재범기간 및 종류","명","-","-","-","-","-","-","-","-","-","-","-","","-","-",
"배임","1년 이내","소년범죄자 재범기간 및 종류","명","-","-","1","-","1","-","-","-","-","-","1","","-","-",
"배임","2년 이내","소년범죄자 재범기간 및 종류","명","-","-","-","-","-","-","-","-","-","-","-","","-","-",
"배임","3년 이내","소년범죄자 재범기간 및 종류","명","-","-","-","-","-","-","-","-","-","-","1","","-","-",
"배임","3년 초과","소년범죄자 재범기간 및 종류","명","-","1","-","-","-","-","-","-","-","-","-","","-","-",
"손괴","합계","소년범죄자 재범기간 및 종류","명","115","168","262","194","158","171","328","377","344","354","375","425","417","461",
"손괴","동종재범","소년범죄자 재범기간 및 종류","명","18","22","43","31","29","20","26","108","123","90","105","117","186","191",
"손괴","1개월 이내","소년범죄자 재범기간 및 종류","명","1","2","3","2","1","2","6","11","9","12","14","19","25","27",
"손괴","3개월 이내","소년범죄자 재범기간 및 종류","명","6","2","8","3","6","5","8","24","14","9","18","20","36","46",
"손괴","6개월 이내","소년범죄자 재범기간 및 종류","명","1","2","4","8","3","2","3","15","27","16","14","19","41","23",
"손괴","1년 이내","소년범죄자 재범기간 및 종류","명","3","9","22","6","14","7","2","26","41","27","33","30","39","48",
"손괴","2년 이내","소년범죄자 재범기간 및 종류","명","2","5","2","7","2","3","6","24","20","20","12","13","26","25",
"손괴","3년 이내","소년범죄자 재범기간 및 종류","명","2","-","2","5","3","1","1","5","8","3","10","13","15","17",
"손괴","3년 초과","소년범죄자 재범기간 및 종류","명","3","2","2","-","-","-","-","3","4","3","4","3","4","5",
"손괴","이종재범","소년범죄자 재범기간 및 종류","명","97","146","219","163","129","151","302","269","221","264","270","308","231","270",
"손괴","1개월 이내","소년범죄자 재범기간 및 종류","명","-","6","16","9","14","9","28","21","20","21","31","18","26","40",
"손괴","3개월 이내","소년범죄자 재범기간 및 종류","명","5","15","19","24","18","16","33","26","29","37","44","46","28","49",
"손괴","6개월 이내","소년범죄자 재범기간 및 종류","명","7","14","29","15","22","21","30","43","32","31","33","45","35","32",
"손괴","1년 이내","소년범죄자 재범기간 및 종류","명","31","49","66","64","32","48","97","85","64","89","82","95","66","80",
"손괴","2년 이내","소년범죄자 재범기간 및 종류","명","23","23","47","30","26","31","63","52","36","40","44","61","46","37",
"손괴","3년 이내","소년범죄자 재범기간 및 종류","명","15","29","19","14","8","20","28","31","25","33","18","33","20","23",
"손괴","3년 초과","소년범죄자 재범기간 및 종류","명","16","10","23","7","9","6","23","11","15","13","18","10","10","9",
"강력범죄(흉악)","합계","소년범죄자 재범기간 및 종류","명","704","692","1172","1385","1073","1237","1142","1047","1008","939","918","864","874","874",
"강력범죄(흉악)","동종재범","소년범죄자 재범기간 및 종류","명","163","176","268","390","256","304","315","233","159","141","127","207","353","394",
"강력범죄(흉악)","1개월 이내","소년범죄자 재범기간 및 종류","명","36","24","37","94","34","64","84","45","22","31","17","21","45","37",
"강력범죄(흉악)","3개월 이내","소년범죄자 재범기간 및 종류","명","17","21","33","59","69","70","52","56","35","16","30","34","68","64",
"강력범죄(흉악)","6개월 이내","소년범죄자 재범기간 및 종류","명","18","35","32","50","34","21","45","38","28","20","17","39","53","71",
"강력범죄(흉악)","1년 이내","소년범죄자 재범기간 및 종류","명","56","65","113","128","85","107","89","54","37","50","38","66","93","125",
"강력범죄(흉악)","2년 이내","소년범죄자 재범기간 및 종류","명","18","16","29","40","22","27","17","27","22","16","17","25","60","46",
"강력범죄(흉악)","3년 이내","소년범죄자 재범기간 및 종류","명","15","9","18","15","8","13","23","10","10","4","6","12","29","41",
"강력범죄(흉악)","3년 초과","소년범죄자 재범기간 및 종류","명","3","6","6","4","4","2","5","3","5","4","2","10","5","10",
"강력범죄(흉악)","이종재범","소년범죄자 재범기간 및 종류","명","541","516","904","995","817","933","827","814","849","798","791","657","521","480",
"강력범죄(흉악)","1개월 이내","소년범죄자 재범기간 및 종류","명","49","51","86","140","71","103","125","90","66","67","78","64","39","51",
"강력범죄(흉악)","3개월 이내","소년범죄자 재범기간 및 종류","명","51","62","98","118","141","127","112","100","108","116","120","86","65","64",
"강력범죄(흉악)","6개월 이내","소년범죄자 재범기간 및 종류","명","54","57","91","151","116","120","92","116","127","122","105","89","68","63",
"강력범죄(흉악)","1년 이내","소년범죄자 재범기간 및 종류","명","205","201","363","379","286","340","277","251","287","263","276","234","204","149",
"강력범죄(흉악)","2년 이내","소년범죄자 재범기간 및 종류","명","85","80","146","121","114","131","106","115","129","121","119","85","86","74",
"강력범죄(흉악)","3년 이내","소년범죄자 재범기간 및 종류","명","50","34","75","64","69","76","52","83","77","72","51","53","43","56",
"강력범죄(흉악)","3년 초과","소년범죄자 재범기간 및 종류","명","47","31","45","22","20","36","63","59","55","37","42","46","16","23",
"살인","합계","소년범죄자 재범기간 및 종류","명","6","7","-","14","2","3","6","6","7","10","4","4","-","11",
"살인","동종재범","소년범죄자 재범기간 및 종류","명","-","1","-","-","1","-","1","-","1","1","2","2","-","2",
"살인","1개월 이내","소년범죄자 재범기간 및 종류","명","-","-","-","-","-","-","-","-","-","-","-","","-","-",
"살인","3개월 이내","소년범죄자 재범기간 및 종류","명","-","-","-","-","1","-","-","-","-","-","-","","-","-",
"살인","6개월 이내","소년범죄자 재범기간 및 종류","명","-","-","-","-","-","-","-","-","-","-","-","1","-","-",
"살인","1년 이내","소년범죄자 재범기간 및 종류","명","-","1","-","-","-","-","1","-","-","-","1","","-","1",
"살인","2년 이내","소년범죄자 재범기간 및 종류","명","-","-","-","-","-","-","-","-","1","1","-","","-","-",
"살인","3년 이내","소년범죄자 재범기간 및 종류","명","-","-","-","-","-","-","-","-","-","-","1","1","-","1",
"살인","3년 초과","소년범죄자 재범기간 및 종류","명","-","-","-","-","-","-","-","-","-","-","-","","-","-",
"살인","이종재범","소년범죄자 재범기간 및 종류","명","6","6","-","14","1","3","5","6","6","9","2","2","-","9",
"살인","1개월 이내","소년범죄자 재범기간 및 종류","명","-","-","-","2","-","-","-","-","-","3","-","","-","1",
"살인","3개월 이내","소년범죄자 재범기간 및 종류","명","2","-","-","-","-","-","1","1","2","1","1","","-","2",
"살인","6개월 이내","소년범죄자 재범기간 및 종류","명","-","2","-","3","-","1","-","-","-","2","-","1","-","1",
"살인","1년 이내","소년범죄자 재범기간 및 종류","명","2","4","-","7","1","1","3","3","4","1","-","1","-","2",
"살인","2년 이내","소년범죄자 재범기간 및 종류","명","1","-","-","1","-","1","-","2","-","-","1","","-","3",
"살인","3년 이내","소년범죄자 재범기간 및 종류","명","-","-","-","1","-","-","-","-","-","1","-","","-","-",
"살인","3년 초과","소년범죄자 재범기간 및 종류","명","1","-","-","-","-","-","1","-","-","1","-","","-","-",
"강도","합계","소년범죄자 재범기간 및 종류","명","401","456","632","842","444","609","603","436","277","279","224","156","142","244",
"강도","동종재범","소년범죄자 재범기간 및 종류","명","126","143","207","327","162","217","226","166","105","97","85","53","59","131",
"강도","1개월 이내","소년범죄자 재범기간 및 종류","명","29","20","31","83","25","49","69","40","18","27","13","8","9","14",
"강도","3개월 이내","소년범죄자 재범기간 및 종류","명","16","18","27","52","47","54","43","40","27","12","26","15","12","35",
"강도","6개월 이내","소년범죄자 재범기간 및 종류","명","14","31","25","38","18","12","32","28","20","9","9","9","9","32",
"강도","1년 이내","소년범죄자 재범기간 및 종류","명","41","52","88","106","51","72","51","34","23","34","21","12","19","37",
"강도","2년 이내","소년범죄자 재범기간 및 종류","명","12","12","22","32","16","21","11","15","11","11","12","7","6","10",
"강도","3년 이내","소년범죄자 재범기간 및 종류","명","12","6","12","13","5","7","17","8","4","1","3","2","4","3",
"강도","3년 초과","소년범죄자 재범기간 및 종류","명","2","4","2","3","-","2","3","1","2","3","1","","-","-",
"강도","이종재범","소년범죄자 재범기간 및 종류","명","275","313","425","515","282","392","377","270","172","182","139","103","83","113",
"강도","1개월 이내","소년범죄자 재범기간 및 종류","명","29","33","50","76","29","53","58","42","21","18","20","14","7","12",
"강도","3개월 이내","소년범죄자 재범기간 및 종류","명","24","41","53","58","58","51","69","37","25","29","30","16","7","22",
"강도","6개월 이내","소년범죄자 재범기간 및 종류","명","27","36","42","74","35","46","47","36","40","21","11","18","16","19",
"강도","1년 이내","소년범죄자 재범기간 및 종류","명","97","131","153","207","97","144","121","86","43","70","53","29","37","34",
"강도","2년 이내","소년범죄자 재범기간 및 종류","명","42","39","65","56","36","56","46","35","17","21","16","10","14","17",
"강도","3년 이내","소년범죄자 재범기간 및 종류","명","36","17","42","28","22","32","16","23","18","17","5","9","2","6",
"강도","3년 초과","소년범죄자 재범기간 및 종류","명","20","16","20","16","5","10","20","11","8","6","4","7","-","3",
"방화","합계","소년범죄자 재범기간 및 종류","명","17","38","34","33","50","40","62","46","36","21","42","36","34","22",
"방화","동종재범","소년범죄자 재범기간 및 종류","명","5","3","2","6","11","11","17","3","10","6","8","12","18","9",
"방화","1개월 이내","소년범죄자 재범기간 및 종류","명","-","1","-","2","2","1","5","-","3","-","-","1","7","2",
"방화","3개월 이내","소년범죄자 재범기간 및 종류","명","-","1","-","1","1","2","1","1","1","3","1","2","4","3",
"방화","6개월 이내","소년범죄자 재범기간 및 종류","명","2","-","1","1","3","2","2","-","2","2","3","2","5","-",
"방화","1년 이내","소년범죄자 재범기간 및 종류","명","2","1","1","2","3","5","7","1","-","-","2","3","2","2",
"방화","2년 이내","소년범죄자 재범기간 및 종류","명","-","-","-","-","-","1","1","-","1","-","1","3","-","2",
"방화","3년 이내","소년범죄자 재범기간 및 종류","명","1","-","-","-","-","-","1","-","2","1","-","","-","-",
"방화","3년 초과","소년범죄자 재범기간 및 종류","명","-","-","-","-","2","-","-","1","1","-","1","1","-","-",
"방화","이종재범","소년범죄자 재범기간 및 종류","명","12","35","32","27","39","29","45","43","26","15","34","24","16","13",
"방화","1개월 이내","소년범죄자 재범기간 및 종류","명","1","6","4","4","9","3","9","6","2","2","2","7","2","3",
"방화","3개월 이내","소년범죄자 재범기간 및 종류","명","-","4","5","1","3","10","8","7","3","3","4","3","3","1",
"방화","6개월 이내","소년범죄자 재범기간 및 종류","명","1","7","2","7","4","5","4","10","3","2","4","2","5","3",
"방화","1년 이내","소년범죄자 재범기간 및 종류","명","6","9","10","7","15","9","8","8","15","6","15","11","3","2",
"방화","2년 이내","소년범죄자 재범기간 및 종류","명","2","6","9","6","4","-","6","4","2","2","7","1","1","-",
"방화","3년 이내","소년범죄자 재범기간 및 종류","명","-","2","1","2","2","2","3","3","-","-","1","","2","1",
"방화","3년 초과","소년범죄자 재범기간 및 종류","명","2","1","1","-","2","-","7","5","1","-","1","","-","3",
"강간","합계","소년범죄자 재범기간 및 종류","명","280","191","506","496","577","585","471","559","","","","","","",
"강간","동종재범","소년범죄자 재범기간 및 종류","명","32","29","59","57","82","76","71","64","","","","","","",
